id,cnt,season,holliday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
725,1013,1,1,2,0,2,0.291304,0.294465,0.734783,0.168726
452,5102,2,0,2,1,1,0.323333,0.315654,0.29,0.187192
487,5740,2,0,2,1,2,0.613333,0.577021,0.659583,0.156096
348,3740,4,0,3,1,2,0.3175,0.338362,0.66375,0.0609583
537,6211,2,0,3,1,1,0.7825,0.720975,0.592083,0.113812
24,1416,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833
535,5099,2,0,1,1,2,0.568333,0.544842,0.777917,0.174746
547,5687,3,0,6,0,1,0.765,0.687508,0.60125,0.161071
35,1708,1,0,5,1,2,0.211304,0.228587,0.585217,0.127839
156,4906,2,0,0,0,2,0.648333,0.616804,0.6525,0.138692
421,2732,1,0,6,0,1,0.290833,0.255675,0.395833,0.421642
265,4795,3,0,4,1,2,0.628333,0.554963,0.902083,0.128125
259,4760,3,0,5,1,2,0.469167,0.461475,0.590417,0.164183
21,1543,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242
138,3855,2,0,3,1,2,0.55,0.527158,0.87,0.201492
12,1162,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627
396,4509,1,0,2,1,1,0.39,0.381317,0.416667,0.261817
611,5810,3,0,0,0,2,0.696667,0.649,0.815,0.0640708
56,1461,1,0,5,1,2,0.364348,0.350461,0.712174,0.346539
449,3372,2,0,6,0,2,0.5025,0.486733,0.885417,0.192783
705,5729,4,0,3,1,1,0.438333,0.428012,0.485,0.324021
28,1167,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233
408,1529,1,0,0,0,1,0.1275,0.101658,0.464583,0.409212
68,1891,1,0,3,1,2,0.295833,0.286608,0.775417,0.22015
481,6196,2,0,3,1,1,0.476667,0.470317,0.427917,0.118792
604,5255,3,0,0,0,2,0.653333,0.595996,0.845833,0.228858
726,441,1,0,3,1,3,0.243333,0.220333,0.823333,0.316546
729,1341,1,0,6,0,2,0.253333,0.2424,0.752917,0.124383
722,1749,1,0,6,0,1,0.265833,0.236113,0.44125,0.407346
371,4098,1,0,5,1,1,0.334167,0.340267,0.542083,0.167908
198,5302,3,0,0,0,1,0.719167,0.669833,0.604167,0.245033
149,4788,2,0,0,0,1,0.6675,0.61555,0.81875,0.213938
627,4073,3,0,2,1,2,0.623333,0.565067,0.8725,0.357587
641,4639,4,0,2,1,3,0.590833,0.542333,0.871667,0.104475
52,1107,1,1,1,0,2,0.303333,0.284075,0.605,0.307846
678,5315,4,0,4,1,1,0.352174,0.341891,0.333478,0.347835
321,3053,4,0,4,1,2,0.341667,0.323221,0.575833,0.305362
92,2252,2,0,6,0,2,0.315,0.315637,0.65375,0.197146
364,2999,1,0,5,1,1,0.311667,0.318812,0.636667,0.134337
362,2302,1,0,3,1,1,0.29913,0.279974,0.503913,0.293961
403,4375,1,0,2,1,1,0.354167,0.361104,0.49625,0.147379
59,1446,1,0,1,1,2,0.407273,0.400118,0.876364,0.289686
419,5062,1,0,4,1,1,0.454167,0.444446,0.554583,0.190913
33,1526,1,0,3,1,2,0.26,0.254417,0.775417,0.264308
426,4990,1,0,4,1,1,0.485833,0.475371,0.615417,0.226987
132,4864,2,0,4,1,1,0.535,0.523363,0.7475,0.189667
465,5585,2,0,1,1,1,0.489167,0.476638,0.3175,0.358196
267,5423,4,0,6,0,2,0.606667,0.564412,0.8625,0.0783833
135,4553,2,0,0,0,2,0.5625,0.536,0.867083,0.152979
339,3811,4,0,1,1,2,0.385833,0.393925,0.827083,0.0622083
427,3194,1,0,5,1,2,0.353333,0.359842,0.657083,0.144904
340,2594,4,0,2,1,3,0.4625,0.4564,0.949583,0.232583
474,4367,2,0,3,1,2,0.463333,0.457038,0.569167,0.167912
235,5895,3,0,2,1,1,0.640833,0.606067,0.455417,0.146763
122,4401,2,0,1,1,2,0.549167,0.532833,0.73,0.183454
515,5743,2,0,2,1,1,0.7225,0.672992,0.684583,0.2954
353,3403,4,0,1,1,1,0.276667,0.280933,0.6375,0.172896
342,3322,4,0,4,1,1,0.265833,0.256938,0.58,0.240058
539,5823,3,0,5,1,1,0.7775,0.724121,0.57375,0.182842
715,5047,4,0,6,0,1,0.324167,0.338383,0.650417,0.10635
275,2918,4,0,0,0,2,0.356667,0.345317,0.791667,0.222013
114,4191,2,0,0,0,2,0.581667,0.551763,0.810833,0.192175
549,6227,3,0,1,1,1,0.781667,0.702038,0.447083,0.195267
65,605,1,0,0,0,2,0.376522,0.366252,0.948261,0.343287
709,3228,4,0,0,0,2,0.384167,0.390146,0.905417,0.157975
720,4128,4,0,4,1,2,0.33,0.335217,0.667917,0.132463
20,1927,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904
123,4451,2,0,2,1,2,0.616667,0.582079,0.697083,0.342667
249,2710,3,0,2,1,3,0.54,0.5152,0.886957,0.343943
334,3613,4,0,3,1,1,0.325,0.311221,0.613333,0.271158
26,506,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385
565,5713,3,0,3,1,1,0.793333,0.745583,0.577083,0.137442
351,2739,4,0,6,0,2,0.258333,0.249371,0.560833,0.243167
507,4359,2,0,1,1,2,0.598333,0.565667,0.81125,0.233204
548,5531,3,0,0,0,1,0.815833,0.750629,0.51875,0.168529
372,4521,1,0,6,0,1,0.393333,0.390779,0.531667,0.174758
386,1301,1,0,6,0,2,0.173333,0.174875,0.83125,0.222642
11,1263,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132
83,1865,2,0,4,1,2,0.285,0.270833,0.805833,0.243787
308,4046,4,0,5,1,2,0.403333,0.403392,0.6225,0.271779
394,3243,1,0,0,0,1,0.2825,0.272721,0.31125,0.24005
197,5923,3,0,6,0,1,0.686667,0.638263,0.585,0.208342
282,5511,4,0,0,0,1,0.540833,0.523983,0.7275,0.06345
696,5087,4,0,1,1,1,0.313333,0.339004,0.535417,0.04665
425,1834,1,0,3,1,2,0.344348,0.34847,0.804783,0.179117
260,4511,3,0,6,0,2,0.491667,0.478512,0.718333,0.189675
355,2660,1,0,3,1,2,0.428333,0.428017,0.858333,0.2214
99,2455,2,0,6,0,2,0.3425,0.341529,0.8775,0.133083
568,4459,3,0,6,0,3,0.595833,0.549912,0.865417,0.2133
25,1985,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796
185,6043,3,1,1,0,2,0.726667,0.665417,0.637917,0.0814792
40,1605,1,0,3,1,2,0.134783,0.144283,0.494783,0.188839
70,1977,1,0,5,1,2,0.316522,0.305,0.649565,0.23297
82,2121,2,0,3,1,2,0.346957,0.337939,0.839565,0.234261
424,4363,1,0,2,1,1,0.359167,0.353525,0.395833,0.193417
552,6241,3,0,4,1,1,0.8275,0.761367,0.457917,0.194029
658,5424,4,0,5,1,2,0.563333,0.537896,0.815,0.134954
730,1796,1,0,0,0,1,0.255833,0.2317,0.483333,0.350754
538,5905,3,0,4,1,1,0.805833,0.752542,0.567917,0.118787
478,1027,2,0,0,0,3,0.396667,0.389504,0.835417,0.344546
36,1005,1,0,6,0,2,0.233333,0.243058,0.929167,0.161079
379,2493,1,0,6,0,1,0.18,0.183087,0.4575,0.187183
91,2227,2,0,5,1,2,0.3,0.283454,0.68625,0.258708
39,1530,1,0,2,1,1,0.220833,0.198246,0.537917,0.36195
74,2056,1,0,2,1,2,0.317391,0.318178,0.655652,0.184309
610,6140,3,0,6,0,2,0.753333,0.702654,0.638333,0.113187
55,1807,1,0,4,1,2,0.295652,0.289191,0.697391,0.250496
105,3126,2,1,5,0,1,0.446667,0.441913,0.67125,0.226375
501,5115,2,0,2,1,2,0.611667,0.576404,0.794583,0.147392
139,4575,2,0,4,1,2,0.530833,0.510742,0.829583,0.108213
495,4717,2,0,3,1,2,0.575,0.553025,0.744167,0.216412
583,5464,3,0,0,0,1,0.769167,0.731079,0.6525,0.290421
66,1872,1,0,1,1,1,0.261739,0.238461,0.551304,0.341352
124,2633,2,0,3,1,2,0.414167,0.40465,0.737083,0.328996
370,3272,1,0,4,1,1,0.265833,0.278412,0.524167,0.129987
63,1944,1,0,5,1,2,0.261667,0.255679,0.610417,0.203346
32,1360,1,0,2,1,2,0.192174,0.23453,0.829565,0.053213
31,1501,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192
137,4123,2,0,2,1,2,0.561667,0.538529,0.837917,0.277354
301,3747,4,0,5,1,2,0.330833,0.318812,0.585833,0.229479
141,5805,2,0,6,0,1,0.6025,0.571975,0.626667,0.12065
529,4972,2,0,2,1,2,0.653333,0.597875,0.833333,0.214546
691,5146,4,0,3,1,1,0.353333,0.364892,0.61375,0.103246
367,1951,1,1,1,0,1,0.273043,0.252304,0.381304,0.329665
588,5786,3,0,5,1,2,0.715833,0.667942,0.715833,0.238813
19,1650,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317
509,5260,2,0,3,1,2,0.621667,0.584612,0.774583,0.102
100,2895,2,0,0,0,2,0.426667,0.426737,0.8575,0.146767
484,4220,2,0,6,0,2,0.376667,0.377504,0.489583,0.129975
120,5312,2,0,6,0,1,0.4725,0.464021,0.503333,0.235075
373,3425,1,0,0,0,1,0.3375,0.340258,0.465,0.191542
553,6207,3,0,5,1,1,0.828333,0.752533,0.450833,0.146142
75,2192,1,0,3,1,2,0.365217,0.36693,0.776522,0.203117
64,2077,1,0,6,0,2,0.384167,0.378779,0.789167,0.251871
133,4105,2,0,5,1,2,0.5125,0.4943,0.863333,0.179725
315,3368,4,1,5,0,1,0.324167,0.306817,0.44625,0.314675
